name,from,to,departure,fare_sl,fare_1ac,fare_2ac,fare_3ac
Sundarban Express 0026,Howrah Junction,Kharagpur Junction,14:55,670,2391,267,1213
Teesta Express 0027,Howrah Junction,Kharagpur Junction,16:30,682,2432,272,1234
Rajdhani Regional Express 0028,Howrah Junction,Kharagpur Junction,18:05,694,2474,276,1256
East Corridor Express 0029,Howrah Junction,Kharagpur Junction,19:40,706,2515,281,1276
Jan Seva Express 0030,Howrah Junction,Kharagpur Junction,21:15,718,2557,285,1298
Eastern India Express 0031,Howrah Junction,New Jalpaiguri Junction,09:55,522,1880,210,952
Ganga Valley Express 0032,Howrah Junction,New Jalpaiguri Junction,11:30,534,1922,214,974
North Bengal Express 0033,Howrah Junction,New Jalpaiguri Junction,13:05,546,1963,219,994
Kolkata Intercity Express 0034,Howrah Junction,New Jalpaiguri Junction,14:40,558,2005,223,1016
Bihar Bengal Express 0035,Howrah Junction,New Jalpaiguri Junction,16:15,570,2046,228,1037
Sundarban Express 0036,Howrah Junction,New Jalpaiguri Junction,17:50,582,2087,233,1058
Teesta Express 0037,Howrah Junction,New Jalpaiguri Junction,19:25,594,2129,237,1080
Rajdhani Regional Express 0038,Howrah Junction,New Jalpaiguri Junction,21:00,606,2170,242,1100
East Corridor Express 0039,Howrah Junction,New Jalpaiguri Junction,22:35,618,2212,247,1121
Jan Seva Express 0040,Howrah Junction,New Jalpaiguri Junction,00:10,630,2253,251,1143
Eastern India Express 0041,Howrah Junction,Durgapur,12:30,325,1201,133,605
Ganga Valley Express 0042,Howrah Junction,Durgapur,14:05,337,1242,138,626
North Bengal Express 0043,Howrah Junction,Durgapur,15:40,349,1284,142,648
Kolkata Intercity Express 0044,Howrah Junction,Durgapur,17:15,361,1325,147,669
Bihar Bengal Express 0045,Howrah Junction,Durgapur,18:50,373,1366,152,689
Sundarban Express 0046,Howrah Junction,Durgapur,20:25,385,1408,156,711
Teesta Express 0047,Howrah Junction,Durgapur,22:00,397,1449,161,732
Rajdhani Regional Express 0048,Howrah Junction,Durgapur,23:35,409,1491,166,753
East Corridor Express 0049,Howrah Junction,Durgapur,01:10,421,1532,170,775
Jan Seva Express 0050,Howrah Junction,Durgapur,02:45,433,1573,175,795
Eastern India Express 0051,Howrah Junction,Malda Town,15:22,487,1760,196,891
Ganga Valley Express 0052,Howrah Junction,Malda Town,16:57,499,1801,201,911
North Bengal Express 0053,Howrah Junction,Malda Town,18:32,511,1842,205,933
Kolkata Intercity Express 0054,Howrah Junction,Malda Town,20:07,523,1884,210,954
Bihar Bengal Express 0055,Howrah Junction,Malda Town,21:42,535,1925,215,975
Sundarban Express 0056,Howrah Junction,Malda Town,23:17,547,1967,219,997
Teesta Express 0057,Howrah Junction,Malda Town,00:52,559,2008,224,1017
Rajdhani Regional Express 0058,Howrah Junction,Malda Town,02:27,571,2049,228,1039
East Corridor Express 0059,Howrah Junction,Malda Town,04:02,583,2091,233,1060
Jan Seva Express 0060,Howrah Junction,Malda Town,05:37,595,2132,238,1081
Eastern India Express 0061,Howrah Junction,Burdwan Junction,18:18,345,1270,141,640
Ganga Valley Express 0062,Howrah Junction,Burdwan Junction,19:53,357,1311,146,661
North Bengal Express 0063,Howrah Junction,Burdwan Junction,21:28,369,1353,150,683
Kolkata Intercity Express 0064,Howrah Junction,Burdwan Junction,23:03,381,1394,155,704
Bihar Bengal Express 0065,Howrah Junction,Burdwan Junction,00:38,393,1435,159,725
Sundarban Express 0066,Howrah Junction,Burdwan Junction,02:13,405,1477,164,746
Teesta Express 0067,Howrah Junction,Burdwan Junction,03:48,417,1518,169,767
Rajdhani Regional Express 0068,Howrah Junction,Burdwan Junction,05:23,429,1560,173,789
East Corridor Express 0069,Howrah Junction,Burdwan Junction,06:58,441,1601,178,810
Jan Seva Express 0070,Howrah Junction,Burdwan Junction,08:33,453,1642,183,830
Eastern India Express 0071,Howrah Junction,Santragachi Junction,21:12,492,1777,198,899
Ganga Valley Express 0072,Howrah Junction,Santragachi Junction,22:47,504,1818,203,920
North Bengal Express 0073,Howrah Junction,Santragachi Junction,00:22,516,1860,207,942
Kolkata Intercity Express 0074,Howrah Junction,Santragachi Junction,01:57,528,1901,212,963
Bihar Bengal Express 0075,Howrah Junction,Santragachi Junction,03:32,540,1943,217,984
Sundarban Express 0076,Howrah Junction,Santragachi Junction,05:07,552,1984,221,1005
Teesta Express 0077,Howrah Junction,Santragachi Junction,06:42,564,2025,226,1026
Rajdhani Regional Express 0078,Howrah Junction,Santragachi Junction,08:17,576,2067,230,1048
East Corridor Express 0079,Howrah Junction,Santragachi Junction,09:52,588,2108,235,1069
Jan Seva Express 0080,Howrah Junction,Santragachi Junction,11:27,600,2150,240,1090
Eastern India Express 0081,Howrah Junction,New Cooch Behar,23:57,655,2339,261,1187
Ganga Valley Express 0082,Howrah Junction,New Cooch Behar,01:32,667,2381,266,1208
North Bengal Express 0083,Howrah Junction,New Cooch Behar,03:07,679,2422,270,1229
Kolkata Intercity Express 0084,Howrah Junction,New Cooch Behar,04:42,691,2463,275,1250
Bihar Bengal Express 0085,Howrah Junction,New Cooch Behar,06:17,703,2505,280,1271
Sundarban Express 0086,Howrah Junction,New Cooch Behar,07:52,715,2546,284,1293
Teesta Express 0087,Howrah Junction,New Cooch Behar,09:27,727,2588,289,1314
Rajdhani Regional Express 0088,Howrah Junction,New Cooch Behar,11:02,739,2629,294,1334
East Corridor Express 0089,Howrah Junction,New Cooch Behar,12:37,751,2670,298,1356
Jan Seva Express 0090,Howrah Junction,New Cooch Behar,14:12,763,2712,303,1377
Eastern India Express 0091,Howrah Junction,Rampurhat Junction,02:50,169,663,73,330
Ganga Valley Express 0092,Howrah Junction,Rampurhat Junction,04:25,181,704,77,352
North Bengal Express 0093,Howrah Junction,Rampurhat Junction,06:00,193,745,82,372
Kolkata Intercity Express 0094,Howrah Junction,Rampurhat Junction,07:35,205,787,87,393
Bihar Bengal Express 0095,Howrah Junction,Rampurhat Junction,09:10,217,828,91,415
Sundarban Express 0096,Howrah Junction,Rampurhat Junction,10:45,229,870,96,436
Teesta Express 0097,Howrah Junction,Rampurhat Junction,12:20,241,911,101,457
Rajdhani Regional Express 0098,Howrah Junction,Rampurhat Junction,13:55,253,952,105,478
East Corridor Express 0099,Howrah Junction,Rampurhat Junction,15:30,265,994,110,499
Jan Seva Express 0100,Howrah Junction,Rampurhat Junction,17:05,277,1035,115,520
Eastern India Express 0101,Howrah Junction,Bandel Junction,05:37,324,1197,133,603
Ganga Valley Express 0102,Howrah Junction,Bandel Junction,07:12,336,1239,137,625
North Bengal Express 0103,Howrah Junction,Bandel Junction,08:47,348,1280,142,646
Kolkata Intercity Express 0104,Howrah Junction,Bandel Junction,10:22,360,1322,147,667
Bihar Bengal Express 0105,Howrah Junction,Bandel Junction,11:57,372,1363,151,688
Sundarban Express 0106,Howrah Junction,Bandel Junction,13:32,384,1404,156,709
Teesta Express 0107,Howrah Junction,Bandel Junction,15:07,396,1446,161,730
Rajdhani Regional Express 0108,Howrah Junction,Bandel Junction,16:42,408,1487,165,752
East Corridor Express 0109,Howrah Junction,Bandel Junction,18:17,420,1529,170,773
Jan Seva Express 0110,Howrah Junction,Bandel Junction,19:52,432,1570,175,793
Eastern India Express 0111,Howrah Junction,Kolkata Railway Station,08:35,494,1784,199,903
Ganga Valley Express 0112,Howrah Junction,Kolkata Railway Station,10:10,506,1825,203,924
North Bengal Express 0113,Howrah Junction,Kolkata Railway Station,11:45,518,1867,208,945
Kolkata Intercity Express 0114,Howrah Junction,Kolkata Railway Station,13:20,530,1908,213,966
Bihar Bengal Express 0115,Howrah Junction,Kolkata Railway Station,14:55,542,1949,217,988
Sundarban Express 0116,Howrah Junction,Kolkata Railway Station,16:30,554,1991,222,1009
Teesta Express 0117,Howrah Junction,Kolkata Railway Station,18:05,566,2032,226,1030
Rajdhani Regional Express 0118,Howrah Junction,Kolkata Railway Station,19:40,578,2074,231,1051
East Corridor Express 0119,Howrah Junction,Kolkata Railway Station,21:15,590,2115,236,1072
Jan Seva Express 0120,Howrah Junction,Kolkata Railway Station,22:50,602,2156,241,1093
Eastern India Express 0121,Howrah Junction,Adra Junction,11:15,666,2377,265,1206
Ganga Valley Express 0122,Howrah Junction,Adra Junction,12:50,678,2419,270,1227
North Bengal Express 0123,Howrah Junction,Adra Junction,14:25,690,2460,275,1248
Kolkata Intercity Express 0124,Howrah Junction,Adra Junction,16:00,702,2501,279,1270
Bihar Bengal Express 0125,Howrah Junction,Adra Junction,17:35,714,2543,284,1291
Sundarban Express 0126,Howrah Junction,Adra Junction,19:10,726,2584,289,1311
Teesta Express 0127,Howrah Junction,Adra Junction,20:45,738,2626,293,1333
Rajdhani Regional Express 0128,Howrah Junction,Adra Junction,22:20,750,2667,298,1354
East Corridor Express 0129,Howrah Junction,Adra Junction,23:55,762,2708,303,1375
Jan Seva Express 0130,Howrah Junction,Adra Junction,01:30,774,2750,307,1397
Eastern India Express 0131,Howrah Junction,Bolpur Shantiniketan,14:12,190,735,81,367
Ganga Valley Express 0132,Howrah Junction,Bolpur Shantiniketan,15:47,202,776,85,389
North Bengal Express 0133,Howrah Junction,Bolpur Shantiniketan,17:22,214,818,90,410
Kolkata Intercity Express 0134,Howrah Junction,Bolpur Shantiniketan,18:57,226,859,95,430
Bihar Bengal Express 0135,Howrah Junction,Bolpur Shantiniketan,20:32,238,901,99,452
Sundarban Express 0136,Howrah Junction,Bolpur Shantiniketan,22:07,250,942,104,473
Teesta Express 0137,Howrah Junction,Bolpur Shantiniketan,23:42,262,983,109,494
Rajdhani Regional Express 0138,Howrah Junction,Bolpur Shantiniketan,01:17,274,1025,113,516
East Corridor Express 0139,Howrah Junction,Bolpur Shantiniketan,02:52,286,1066,118,536
Jan Seva Express 0140,Howrah Junction,Bolpur Shantiniketan,04:27,298,1108,123,557
Eastern India Express 0141,Howrah Junction,Bankura Junction,16:58,355,1304,145,658
Ganga Valley Express 0142,Howrah Junction,Bankura Junction,18:33,367,1346,149,680
North Bengal Express 0143,Howrah Junction,Bankura Junction,20:08,379,1387,154,700
Kolkata Intercity Express 0144,Howrah Junction,Bankura Junction,21:43,391,1428,159,721
Bihar Bengal Express 0145,Howrah Junction,Bankura Junction,23:18,403,1470,163,743
Sundarban Express 0146,Howrah Junction,Bankura Junction,00:53,415,1511,168,764
Teesta Express 0147,Howrah Junction,Bankura Junction,02:28,427,1553,173,785
Rajdhani Regional Express 0148,Howrah Junction,Bankura Junction,04:03,439,1594,177,806
East Corridor Express 0149,Howrah Junction,Bankura Junction,05:38,451,1635,182,827
Jan Seva Express 0150,Howrah Junction,Bankura Junction,07:13,463,1677,187,848
Eastern India Express 0151,Howrah Junction,Katwa Junction,19:46,527,1898,212,961
Ganga Valley Express 0152,Howrah Junction,Katwa Junction,21:21,539,1939,216,982
North Bengal Express 0153,Howrah Junction,Katwa Junction,22:56,551,1980,221,1003
Kolkata Intercity Express 0154,Howrah Junction,Katwa Junction,00:31,563,2022,225,1025
Bihar Bengal Express 0155,Howrah Junction,Katwa Junction,02:06,575,2063,230,1046
Sundarban Express 0156,Howrah Junction,Katwa Junction,03:41,587,2105,235,1067
Teesta Express 0157,Howrah Junction,Katwa Junction,05:16,599,2146,239,1088
Rajdhani Regional Express 0158,Howrah Junction,Katwa Junction,06:51,611,2187,244,1109
East Corridor Express 0159,Howrah Junction,Katwa Junction,08:26,623,2229,249,1130
Jan Seva Express 0160,Howrah Junction,Katwa Junction,10:01,635,2270,253,1152
Eastern India Express 0161,Howrah Junction,Hijli,22:27,424,1542,171,780
Ganga Valley Express 0162,Howrah Junction,Hijli,00:02,436,1584,176,801
North Bengal Express 0163,Howrah Junction,Hijli,01:37,448,1625,181,822
Kolkata Intercity Express 0164,Howrah Junction,Hijli,03:12,460,1667,186,843
Bihar Bengal Express 0165,Howrah Junction,Hijli,04:47,472,1708,190,864
Sundarban Express 0166,Howrah Junction,Hijli,06:22,484,1749,195,885
Teesta Express 0167,Howrah Junction,Hijli,07:57,496,1791,199,907
Rajdhani Regional Express 0168,Howrah Junction,Hijli,09:32,508,1832,204,928
East Corridor Express 0169,Howrah Junction,Hijli,11:07,520,1874,209,949
Jan Seva Express 0170,Howrah Junction,Hijli,12:42,532,1915,213,970
Eastern India Express 0171,Howrah Junction,Purulia Junction,01:28,566,2032,226,1030
Ganga Valley Express 0172,Howrah Junction,Purulia Junction,03:03,578,2074,231,1051
North Bengal Express 0173,Howrah Junction,Purulia Junction,04:38,590,2115,236,1072
Kolkata Intercity Express 0174,Howrah Junction,Purulia Junction,06:13,602,2156,241,1093
Bihar Bengal Express 0175,Howrah Junction,Purulia Junction,07:48,614,2198,245,1115
Sundarban Express 0176,Howrah Junction,Purulia Junction,09:23,626,2239,250,1135
Teesta Express 0177,Howrah Junction,Purulia Junction,10:58,638,2281,254,1157
Rajdhani Regional Express 0178,Howrah Junction,Purulia Junction,12:33,650,2322,259,1178
East Corridor Express 0179,Howrah Junction,Purulia Junction,14:08,662,2363,264,1199
Jan Seva Express 0180,Howrah Junction,Purulia Junction,15:43,674,2405,269,1220
Eastern India Express 0181,Howrah Junction,Dankuni Junction,04:18,425,1546,172,781
Ganga Valley Express 0182,Howrah Junction,Dankuni Junction,05:53,437,1587,177,802
North Bengal Express 0183,Howrah Junction,Dankuni Junction,07:28,449,1629,181,824
Kolkata Intercity Express 0184,Howrah Junction,Dankuni Junction,09:03,461,1670,186,845
Bihar Bengal Express 0185,Howrah Junction,Dankuni Junction,10:38,473,1711,190,866
Sundarban Express 0186,Howrah Junction,Dankuni Junction,12:13,485,1753,195,887
Teesta Express 0187,Howrah Junction,Dankuni Junction,13:48,497,1794,200,908
Rajdhani Regional Express 0188,Howrah Junction,Dankuni Junction,15:23,509,1836,204,930
East Corridor Express 0189,Howrah Junction,Dankuni Junction,16:58,521,1877,209,951
Jan Seva Express 0190,Howrah Junction,Dankuni Junction,18:33,533,1918,214,971
Eastern India Express 0191,Howrah Junction,Chittaranjan,07:04,249,939,104,471
Ganga Valley Express 0192,Howrah Junction,Chittaranjan,08:39,261,980,108,493
North Bengal Express 0193,Howrah Junction,Chittaranjan,10:14,273,1021,113,513
Kolkata Intercity Express 0194,Howrah Junction,Chittaranjan,11:49,285,1063,118,534
Bihar Bengal Express 0195,Howrah Junction,Chittaranjan,13:24,297,1104,122,556
Sundarban Express 0196,Howrah Junction,Chittaranjan,14:59,309,1146,127,577
Teesta Express 0197,Howrah Junction,Chittaranjan,16:34,321,1187,132,598
Rajdhani Regional Express 0198,Howrah Junction,Chittaranjan,18:09,333,1228,136,619
East Corridor Express 0199,Howrah Junction,Chittaranjan,19:44,345,1270,141,640
Jan Seva Express 0200,Howrah Junction,Chittaranjan,21:19,357,1311,146,661
Eastern India Express 0201,Howrah Junction,Siliguri Junction,09:59,393,1435,159,725
Ganga Valley Express 0202,Howrah Junction,Siliguri Junction,11:34,405,1477,164,746
North Bengal Express 0203,Howrah Junction,Siliguri Junction,13:09,417,1518,169,767
Kolkata Intercity Express 0204,Howrah Junction,Siliguri Junction,14:44,429,1560,173,789
Bihar Bengal Express 0205,Howrah Junction,Siliguri Junction,16:19,441,1601,178,810
Sundarban Express 0206,Howrah Junction,Siliguri Junction,17:54,453,1642,183,830
Teesta Express 0207,Howrah Junction,Siliguri Junction,19:29,465,1684,187,852
Rajdhani Regional Express 0208,Howrah Junction,Siliguri Junction,21:04,477,1725,192,873
East Corridor Express 0209,Howrah Junction,Siliguri Junction,22:39,489,1767,197,894
Jan Seva Express 0210,Howrah Junction,Siliguri Junction,00:14,501,1808,201,916
Eastern India Express 0211,Howrah Junction,Ranaghat Junction,12:49,558,2005,223,1016
Ganga Valley Express 0212,Howrah Junction,Ranaghat Junction,14:24,570,2046,228,1037
North Bengal Express 0213,Howrah Junction,Ranaghat Junction,15:59,582,2087,233,1058
Kolkata Intercity Express 0214,Howrah Junction,Ranaghat Junction,17:34,594,2129,237,1080
Bihar Bengal Express 0215,Howrah Junction,Ranaghat Junction,19:09,606,2170,242,1100
Sundarban Express 0216,Howrah Junction,Ranaghat Junction,20:44,618,2212,247,1121
Teesta Express 0217,Howrah Junction,Ranaghat Junction,22:19,630,2253,251,1143
Rajdhani Regional Express 0218,Howrah Junction,Ranaghat Junction,23:54,642,2294,256,1164
East Corridor Express 0219,Howrah Junction,Ranaghat Junction,01:29,654,2336,261,1185
Jan Seva Express 0220,Howrah Junction,Ranaghat Junction,03:04,666,2377,265,1206
Eastern India Express 0221,Howrah Junction,Andal Junction,15:36,727,2588,289,1314
Ganga Valley Express 0222,Howrah Junction,Andal Junction,17:11,739,2629,294,1334
North Bengal Express 0223,Howrah Junction,Andal Junction,18:46,751,2670,298,1356
Kolkata Intercity Express 0224,Howrah Junction,Andal Junction,20:21,763,2712,303,1377
Bihar Bengal Express 0225,Howrah Junction,Andal Junction,21:56,775,2753,308,1398
Sundarban Express 0226,Howrah Junction,Andal Junction,23:31,787,2795,312,1420
Teesta Express 0227,Howrah Junction,Andal Junction,01:06,799,2836,317,1440
Rajdhani Regional Express 0228,Howrah Junction,Andal Junction,02:41,811,2877,322,1461
East Corridor Express 0229,Howrah Junction,Andal Junction,04:16,823,2919,326,1483
Jan Seva Express 0230,Howrah Junction,Andal Junction,05:51,835,2960,331,1504
Eastern India Express 0231,Howrah Junction,Krishnanagar City Junction,18:38,230,873,96,438
Ganga Valley Express 0232,Howrah Junction,Krishnanagar City Junction,20:13,242,914,101,459
North Bengal Express 0233,Howrah Junction,Krishnanagar City Junction,21:48,254,956,106,480
Kolkata Intercity Express 0234,Howrah Junction,Krishnanagar City Junction,23:23,266,997,110,501
Bihar Bengal Express 0235,Howrah Junction,Krishnanagar City Junction,00:58,278,1039,115,522
Sundarban Express 0236,Howrah Junction,Krishnanagar City Junction,02:33,290,1080,120,543
Teesta Express 0237,Howrah Junction,Krishnanagar City Junction,04:08,302,1121,124,565
Rajdhani Regional Express 0238,Howrah Junction,Krishnanagar City Junction,05:43,314,1163,129,586
East Corridor Express 0239,Howrah Junction,Krishnanagar City Junction,07:18,326,1204,133,607
Jan Seva Express 0240,Howrah Junction,Krishnanagar City Junction,08:53,338,1246,138,628
Eastern India Express 0241,Howrah Junction,Digha,21:07,403,1470,163,743
Ganga Valley Express 0242,Howrah Junction,Digha,22:42,415,1511,168,764
North Bengal Express 0243,Howrah Junction,Digha,00:17,427,1553,173,785
Kolkata Intercity Express 0244,Howrah Junction,Digha,01:52,439,1594,177,806
Bihar Bengal Express 0245,Howrah Junction,Digha,03:27,451,1635,182,827
Sundarban Express 0246,Howrah Junction,Digha,05:02,463,1677,187,848
Teesta Express 0247,Howrah Junction,Digha,06:37,475,1718,191,870
Rajdhani Regional Express 0248,Howrah Junction,Digha,08:12,487,1760,196,891
East Corridor Express 0249,Howrah Junction,Digha,09:47,499,1801,201,911
Jan Seva Express 0250,Howrah Junction,Digha,11:22,511,1842,205,933
Eastern India Express 0251,Howrah Junction,Shalimar,00:00,577,2070,231,1049
Ganga Valley Express 0252,Howrah Junction,Shalimar,01:35,589,2112,236,1070
North Bengal Express 0253,Howrah Junction,Shalimar,03:10,601,2153,240,1092
Kolkata Intercity Express 0254,Howrah Junction,Shalimar,04:45,613,2194,245,1112
Bihar Bengal Express 0255,Howrah Junction,Shalimar,06:20,625,2236,249,1134
Sundarban Express 0256,Howrah Junction,Shalimar,07:55,637,2277,254,1155
Teesta Express 0257,Howrah Junction,Shalimar,09:30,649,2319,259,1176
Rajdhani Regional Express 0258,Howrah Junction,Shalimar,11:05,661,2360,263,1198
East Corridor Express 0259,Howrah Junction,Shalimar,12:40,673,2401,268,1218
Jan Seva Express 0260,Howrah Junction,Shalimar,14:15,685,2443,273,1239
Eastern India Express 0261,Howrah Junction,Midnapore,02:51,504,1818,203,920
Ganga Valley Express 0262,Howrah Junction,Midnapore,04:26,516,1860,207,942
North Bengal Express 0263,Howrah Junction,Midnapore,06:01,528,1901,212,963
Kolkata Intercity Express 0264,Howrah Junction,Midnapore,07:36,540,1943,217,984
Bihar Bengal Express 0265,Howrah Junction,Midnapore,09:11,552,1984,221,1005
Sundarban Express 0266,Howrah Junction,Midnapore,10:46,564,2025,226,1026
Teesta Express 0267,Howrah Junction,Midnapore,12:21,576,2067,230,1048
Rajdhani Regional Express 0268,Howrah Junction,Midnapore,13:56,588,2108,235,1069
East Corridor Express 0269,Howrah Junction,Midnapore,15:31,600,2150,240,1090
Jan Seva Express 0270,Howrah Junction,Midnapore,17:06,612,2191,244,1111
Eastern India Express 0271,Howrah Junction,Berhampore Court,05:48,290,1080,120,543
Ganga Valley Express 0272,Howrah Junction,Berhampore Court,07:23,302,1121,124,565
North Bengal Express 0273,Howrah Junction,Berhampore Court,08:58,314,1163,129,586
Kolkata Intercity Express 0274,Howrah Junction,Berhampore Court,10:33,326,1204,133,607
Bihar Bengal Express 0275,Howrah Junction,Berhampore Court,12:08,338,1246,138,628
Sundarban Express 0276,Howrah Junction,Berhampore Court,13:43,350,1287,143,649
Teesta Express 0277,Howrah Junction,Berhampore Court,15:18,362,1328,148,670
Rajdhani Regional Express 0278,Howrah Junction,Berhampore Court,16:53,374,1370,152,692
East Corridor Express 0279,Howrah Junction,Berhampore Court,18:28,386,1411,157,712
Jan Seva Express 0280,Howrah Junction,Berhampore Court,20:03,398,1453,161,734
Eastern India Express 0281,Howrah Junction,Naihati Junction,08:38,452,1639,182,829
Ganga Valley Express 0282,Howrah Junction,Naihati Junction,10:13,464,1680,187,850
North Bengal Express 0283,Howrah Junction,Naihati Junction,11:48,476,1722,192,871
Kolkata Intercity Express 0284,Howrah Junction,Naihati Junction,13:23,488,1763,196,893
Bihar Bengal Express 0285,Howrah Junction,Naihati Junction,14:58,500,1805,201,914
Sundarban Express 0286,Howrah Junction,Naihati Junction,16:33,512,1846,206,934
Teesta Express 0287,Howrah Junction,Naihati Junction,18:08,524,1887,210,956
Rajdhani Regional Express 0288,Howrah Junction,Naihati Junction,19:43,536,1929,215,977
East Corridor Express 0289,Howrah Junction,Naihati Junction,21:18,548,1970,220,998
Jan Seva Express 0290,Howrah Junction,Naihati Junction,22:53,560,2012,224,1020
Eastern India Express 0291,Howrah Junction,Patna Junction,11:26,328,1211,134,611
Ganga Valley Express 0292,Howrah Junction,Patna Junction,13:01,340,1253,139,632
North Bengal Express 0293,Howrah Junction,Patna Junction,14:36,352,1294,144,652
Kolkata Intercity Express 0294,Howrah Junction,Patna Junction,16:11,364,1335,148,674
Bihar Bengal Express 0295,Howrah Junction,Patna Junction,17:46,376,1377,153,695
Sundarban Express 0296,Howrah Junction,Patna Junction,19:21,388,1418,158,716
Teesta Express 0297,Howrah Junction,Patna Junction,20:56,400,1460,162,738
Rajdhani Regional Express 0298,Howrah Junction,Patna Junction,22:31,412,1501,167,758
East Corridor Express 0299,Howrah Junction,Patna Junction,00:06,424,1542,171,780
Jan Seva Express 0300,Howrah Junction,Patna Junction,01:41,436,1584,176,801
Eastern India Express 0301,Howrah Junction,Danapur,14:09,467,1691,188,856
Ganga Valley Express 0302,Howrah Junction,Danapur,15:44,479,1732,193,876
North Bengal Express 0303,Howrah Junction,Danapur,17:19,491,1773,197,898
Kolkata Intercity Express 0304,Howrah Junction,Danapur,18:54,503,1815,202,919
Bihar Bengal Express 0305,Howrah Junction,Danapur,20:29,515,1856,207,940
Sundarban Express 0306,Howrah Junction,Danapur,22:04,527,1898,212,961
Teesta Express 0307,Howrah Junction,Danapur,23:39,539,1939,216,982
Rajdhani Regional Express 0308,Howrah Junction,Danapur,01:14,551,1980,221,1003
East Corridor Express 0309,Howrah Junction,Danapur,02:49,563,2022,225,1025
Jan Seva Express 0310,Howrah Junction,Danapur,04:24,575,2063,230,1046
Eastern India Express 0311,Howrah Junction,Muzaffarpur Junction,17:12,626,2239,250,1135
Ganga Valley Express 0312,Howrah Junction,Muzaffarpur Junction,18:47,638,2281,254,1157
North Bengal Express 0313,Howrah Junction,Muzaffarpur Junction,20:22,650,2322,259,1178
Kolkata Intercity Express 0314,Howrah Junction,Muzaffarpur Junction,21:57,662,2363,264,1199
Bihar Bengal Express 0315,Howrah Junction,Muzaffarpur Junction,23:32,674,2405,269,1220
Sundarban Express 0316,Howrah Junction,Muzaffarpur Junction,01:07,686,2446,273,1241
Teesta Express 0317,Howrah Junction,Muzaffarpur Junction,02:42,698,2488,278,1262
Rajdhani Regional Express 0318,Howrah Junction,Muzaffarpur Junction,04:17,710,2529,282,1284
East Corridor Express 0319,Howrah Junction,Muzaffarpur Junction,05:52,722,2570,287,1305
Jan Seva Express 0320,Howrah Junction,Muzaffarpur Junction,07:27,734,2612,292,1326
Eastern India Express 0321,Howrah Junction,Gaya Junction,19:55,525,1891,211,957
Ganga Valley Express 0322,Howrah Junction,Gaya Junction,21:30,537,1932,215,979
North Bengal Express 0323,Howrah Junction,Gaya Junction,23:05,549,1974,220,1000
Kolkata Intercity Express 0324,Howrah Junction,Gaya Junction,00:40,561,2015,225,1021
Bihar Bengal Express 0325,Howrah Junction,Gaya Junction,02:15,573,2056,229,1042
Sundarban Express 0326,Howrah Junction,Gaya Junction,03:50,585,2098,234,1063
Teesta Express 0327,Howrah Junction,Gaya Junction,05:25,597,2139,239,1084
Rajdhani Regional Express 0328,Howrah Junction,Gaya Junction,07:00,609,2181,243,1106
East Corridor Express 0329,Howrah Junction,Gaya Junction,08:35,621,2222,248,1127
Jan Seva Express 0330,Howrah Junction,Gaya Junction,10:10,633,2263,252,1148
Eastern India Express 0331,Howrah Junction,Bhagalpur Junction,22:50,294,1094,121,551
