name,from,to,departure,fare_sitting,fare_sleeper
Eastern Star Travels 0061,Howrah Junction,Adra Junction,23:23,478,780
North Bengal Express Bus 0062,Howrah Junction,Adra Junction,01:56,488,796
GreenLine Travels 0063,Howrah Junction,Adra Junction,04:29,498,811
Royal Roadways 0064,Howrah Junction,Adra Junction,07:02,508,827
CityLink Travels 0065,Howrah Junction,Adra Junction,09:35,518,842
Eastern Star Travels 0066,Howrah Junction,Bolpur Shantiniketan,01:18,149,270
North Bengal Express Bus 0067,Howrah Junction,Bolpur Shantiniketan,03:51,159,286
GreenLine Travels 0068,Howrah Junction,Bolpur Shantiniketan,06:24,169,301
Royal Roadways 0069,Howrah Junction,Bolpur Shantiniketan,08:57,179,317
CityLink Travels 0070,Howrah Junction,Bolpur Shantiniketan,11:30,189,332
Eastern Star Travels 0071,Howrah Junction,Bankura Junction,03:13,263,447
North Bengal Express Bus 0072,Howrah Junction,Bankura Junction,05:46,273,463
GreenLine Travels 0073,Howrah Junction,Bankura Junction,08:19,283,478
Royal Roadways 0074,Howrah Junction,Bankura Junction,10:52,293,494
CityLink Travels 0075,Howrah Junction,Bankura Junction,13:25,303,509
Eastern Star Travels 0076,Howrah Junction,Katwa Junction,05:08,382,632
North Bengal Express Bus 0077,Howrah Junction,Katwa Junction,07:41,392,647
GreenLine Travels 0078,Howrah Junction,Katwa Junction,10:14,402,663
Royal Roadways 0079,Howrah Junction,Katwa Junction,12:47,412,678
CityLink Travels 0080,Howrah Junction,Katwa Junction,15:20,422,694
Eastern Star Travels 0081,Howrah Junction,Hijli,07:03,311,522
North Bengal Express Bus 0082,Howrah Junction,Hijli,09:36,321,537
GreenLine Travels 0083,Howrah Junction,Hijli,12:09,331,553
Royal Roadways 0084,Howrah Junction,Hijli,14:42,341,568
CityLink Travels 0085,Howrah Junction,Hijli,17:15,351,584
Eastern Star Travels 0086,Howrah Junction,Purulia Junction,08:58,409,673
North Bengal Express Bus 0087,Howrah Junction,Purulia Junction,11:31,419,689
GreenLine Travels 0088,Howrah Junction,Purulia Junction,14:04,429,704
Royal Roadways 0089,Howrah Junction,Purulia Junction,16:37,439,720
CityLink Travels 0090,Howrah Junction,Purulia Junction,19:10,449,735
Eastern Star Travels 0091,Howrah Junction,Dankuni Junction,10:53,311,522
North Bengal Express Bus 0092,Howrah Junction,Dankuni Junction,13:26,321,537
GreenLine Travels 0093,Howrah Junction,Dankuni Junction,15:59,331,553
Royal Roadways 0094,Howrah Junction,Dankuni Junction,18:32,341,568
CityLink Travels 0095,Howrah Junction,Dankuni Junction,21:05,351,584
Eastern Star Travels 0096,Howrah Junction,Chittaranjan,12:48,189,332
North Bengal Express Bus 0097,Howrah Junction,Chittaranjan,15:21,199,348
GreenLine Travels 0098,Howrah Junction,Chittaranjan,17:54,209,363
Royal Roadways 0099,Howrah Junction,Chittaranjan,20:27,219,379
CityLink Travels 0100,Howrah Junction,Chittaranjan,23:00,229,394
Eastern Star Travels 0101,Howrah Junction,Siliguri Junction,14:43,289,487
North Bengal Express Bus 0102,Howrah Junction,Siliguri Junction,17:16,299,503
GreenLine Travels 0103,Howrah Junction,Siliguri Junction,19:49,309,518
Royal Roadways 0104,Howrah Junction,Siliguri Junction,22:22,319,534
CityLink Travels 0105,Howrah Junction,Siliguri Junction,00:55,329,549
Eastern Star Travels 0106,Howrah Junction,Ranaghat Junction,16:38,403,664
North Bengal Express Bus 0107,Howrah Junction,Ranaghat Junction,19:11,413,680
GreenLine Travels 0108,Howrah Junction,Ranaghat Junction,21:44,423,695
Royal Roadways 0109,Howrah Junction,Ranaghat Junction,00:17,433,711
CityLink Travels 0110,Howrah Junction,Ranaghat Junction,02:50,443,726
Eastern Star Travels 0111,Howrah Junction,Andal Junction,18:33,520,846
North Bengal Express Bus 0112,Howrah Junction,Andal Junction,21:06,530,861
GreenLine Travels 0113,Howrah Junction,Andal Junction,23:39,540,877
Royal Roadways 0114,Howrah Junction,Andal Junction,02:12,550,892
CityLink Travels 0115,Howrah Junction,Andal Junction,04:45,560,908
Eastern Star Travels 0116,Howrah Junction,Krishnanagar City Junction,20:28,176,312
North Bengal Express Bus 0117,Howrah Junction,Krishnanagar City Junction,23:01,186,328
GreenLine Travels 0118,Howrah Junction,Krishnanagar City Junction,01:34,196,343
Royal Roadways 0119,Howrah Junction,Krishnanagar City Junction,04:07,206,359
CityLink Travels 0120,Howrah Junction,Krishnanagar City Junction,06:40,216,374
Eastern Star Travels 0121,Howrah Junction,Digha,22:23,296,498
North Bengal Express Bus 0122,Howrah Junction,Digha,00:56,306,514
GreenLine Travels 0123,Howrah Junction,Digha,03:29,316,529
Royal Roadways 0124,Howrah Junction,Digha,06:02,326,545
CityLink Travels 0125,Howrah Junction,Digha,08:35,336,560
Eastern Star Travels 0126,Howrah Junction,Shalimar,00:18,416,684
North Bengal Express Bus 0127,Howrah Junction,Shalimar,02:51,426,700
GreenLine Travels 0128,Howrah Junction,Shalimar,05:24,436,715
Royal Roadways 0129,Howrah Junction,Shalimar,07:57,446,731
CityLink Travels 0130,Howrah Junction,Shalimar,10:30,456,746
Eastern Star Travels 0131,Howrah Junction,Midnapore,02:13,366,607
North Bengal Express Bus 0132,Howrah Junction,Midnapore,04:46,376,622
GreenLine Travels 0133,Howrah Junction,Midnapore,07:19,386,638
Royal Roadways 0134,Howrah Junction,Midnapore,09:52,396,653
CityLink Travels 0135,Howrah Junction,Midnapore,12:25,406,669
Eastern Star Travels 0136,Howrah Junction,Berhampore Court,04:08,218,377
North Bengal Express Bus 0137,Howrah Junction,Berhampore Court,06:41,228,393
GreenLine Travels 0138,Howrah Junction,Berhampore Court,09:14,238,408
Royal Roadways 0139,Howrah Junction,Berhampore Court,11:47,248,424
CityLink Travels 0140,Howrah Junction,Berhampore Court,14:20,258,439
Eastern Star Travels 0141,Howrah Junction,Naihati Junction,06:03,330,551
North Bengal Express Bus 0142,Howrah Junction,Naihati Junction,08:36,340,567
GreenLine Travels 0143,Howrah Junction,Naihati Junction,11:09,350,582
Royal Roadways 0144,Howrah Junction,Naihati Junction,13:42,360,598
CityLink Travels 0145,Howrah Junction,Naihati Junction,16:15,370,613
Eastern Star Travels 0146,Howrah Junction,Patna Junction,07:58,244,418
North Bengal Express Bus 0147,Howrah Junction,Patna Junction,10:31,254,433
GreenLine Travels 0148,Howrah Junction,Patna Junction,13:04,264,449
Royal Roadways 0149,Howrah Junction,Patna Junction,15:37,274,464
CityLink Travels 0150,Howrah Junction,Patna Junction,18:10,284,480
Eastern Star Travels 0151,Howrah Junction,Danapur,09:53,340,567
North Bengal Express Bus 0152,Howrah Junction,Danapur,12:26,350,582
GreenLine Travels 0153,Howrah Junction,Danapur,14:59,360,598
Royal Roadways 0154,Howrah Junction,Danapur,17:32,370,613
CityLink Travels 0155,Howrah Junction,Danapur,20:05,380,629
Eastern Star Travels 0156,Howrah Junction,Muzaffarpur Junction,11:48,450,737
North Bengal Express Bus 0157,Howrah Junction,Muzaffarpur Junction,14:21,460,753
GreenLine Travels 0158,Howrah Junction,Muzaffarpur Junction,16:54,470,768
Royal Roadways 0159,Howrah Junction,Muzaffarpur Junction,19:27,480,784
CityLink Travels 0160,Howrah Junction,Muzaffarpur Junction,22:00,490,799
Eastern Star Travels 0161,Howrah Junction,Gaya Junction,13:43,381,630
North Bengal Express Bus 0162,Howrah Junction,Gaya Junction,16:16,391,646
GreenLine Travels 0163,Howrah Junction,Gaya Junction,18:49,401,661
Royal Roadways 0164,Howrah Junction,Gaya Junction,21:22,411,677
CityLink Travels 0165,Howrah Junction,Gaya Junction,23:55,421,692
Eastern Star Travels 0166,Howrah Junction,Bhagalpur Junction,15:38,221,382
North Bengal Express Bus 0167,Howrah Junction,Bhagalpur Junction,18:11,231,398
GreenLine Travels 0168,Howrah Junction,Bhagalpur Junction,20:44,241,413
Royal Roadways 0169,Howrah Junction,Bhagalpur Junction,23:17,251,429
CityLink Travels 0170,Howrah Junction,Bhagalpur Junction,01:50,261,444
Eastern Star Travels 0171,Howrah Junction,Darbhanga Junction,17:33,337,562
North Bengal Express Bus 0172,Howrah Junction,Darbhanga Junction,20:06,347,577
GreenLine Travels 0173,Howrah Junction,Darbhanga Junction,22:39,357,593
Royal Roadways 0174,Howrah Junction,Darbhanga Junction,01:12,367,608
CityLink Travels 0175,Howrah Junction,Darbhanga Junction,03:45,377,624
Eastern Star Travels 0176,Howrah Junction,Samastipur Junction,19:28,456,746
North Bengal Express Bus 0177,Howrah Junction,Samastipur Junction,22:01,466,762
GreenLine Travels 0178,Howrah Junction,Samastipur Junction,00:34,476,777
Royal Roadways 0179,Howrah Junction,Samastipur Junction,03:07,486,793
CityLink Travels 0180,Howrah Junction,Samastipur Junction,05:40,496,808
Eastern Star Travels 0181,Howrah Junction,Barauni Junction,21:23,126,235
North Bengal Express Bus 0182,Howrah Junction,Barauni Junction,23:56,136,250
GreenLine Travels 0183,Howrah Junction,Barauni Junction,02:29,146,266
Royal Roadways 0184,Howrah Junction,Barauni Junction,05:02,156,281
CityLink Travels 0185,Howrah Junction,Barauni Junction,07:35,166,297
Eastern Star Travels 0186,Howrah Junction,Katihar Junction,23:18,239,410
North Bengal Express Bus 0187,Howrah Junction,Katihar Junction,01:51,249,425
GreenLine Travels 0188,Howrah Junction,Katihar Junction,04:24,259,441
Royal Roadways 0189,Howrah Junction,Katihar Junction,06:57,269,456
CityLink Travels 0190,Howrah Junction,Katihar Junction,09:30,279,472
Eastern Star Travels 0191,Howrah Junction,Chhapra Junction,01:13,358,594
North Bengal Express Bus 0192,Howrah Junction,Chhapra Junction,03:46,368,610
GreenLine Travels 0193,Howrah Junction,Chhapra Junction,06:19,378,625
Royal Roadways 0194,Howrah Junction,Chhapra Junction,08:52,388,641
CityLink Travels 0195,Howrah Junction,Chhapra Junction,11:25,398,656
Eastern Star Travels 0196,Howrah Junction,Ara Junction,03:08,299,503
North Bengal Express Bus 0197,Howrah Junction,Ara Junction,05:41,309,518
GreenLine Travels 0198,Howrah Junction,Ara Junction,08:14,319,534
Royal Roadways 0199,Howrah Junction,Ara Junction,10:47,329,549
CityLink Travels 0200,Howrah Junction,Ara Junction,13:20,339,565
Eastern Star Travels 0201,Howrah Junction,Buxar Junction,05:03,392,647
North Bengal Express Bus 0202,Howrah Junction,Buxar Junction,07:36,402,663
GreenLine Travels 0203,Howrah Junction,Buxar Junction,10:09,412,678
Royal Roadways 0204,Howrah Junction,Buxar Junction,12:42,422,694
CityLink Travels 0205,Howrah Junction,Buxar Junction,15:15,432,709
Eastern Star Travels 0206,Howrah Junction,Hajipur Junction,06:58,288,486
North Bengal Express Bus 0207,Howrah Junction,Hajipur Junction,09:31,298,501
GreenLine Travels 0208,Howrah Junction,Hajipur Junction,12:04,308,517
Royal Roadways 0209,Howrah Junction,Hajipur Junction,14:37,318,532
CityLink Travels 0210,Howrah Junction,Hajipur Junction,17:10,328,548
Eastern Star Travels 0211,Howrah Junction,Sonpur Junction,08:53,397,655
North Bengal Express Bus 0212,Howrah Junction,Sonpur Junction,11:26,407,670
GreenLine Travels 0213,Howrah Junction,Sonpur Junction,13:59,417,686
Royal Roadways 0214,Howrah Junction,Sonpur Junction,16:32,427,701
CityLink Travels 0215,Howrah Junction,Sonpur Junction,19:05,437,717
Eastern Star Travels 0216,Howrah Junction,Saharsa Junction,10:48,271,460
North Bengal Express Bus 0217,Howrah Junction,Saharsa Junction,13:21,281,475
GreenLine Travels 0218,Howrah Junction,Saharsa Junction,15:54,291,491
Royal Roadways 0219,Howrah Junction,Saharsa Junction,18:27,301,506
CityLink Travels 0220,Howrah Junction,Saharsa Junction,21:00,311,522
Eastern Star Travels 0221,Howrah Junction,Purnea Junction,12:43,383,633
North Bengal Express Bus 0222,Howrah Junction,Purnea Junction,15:16,393,649
GreenLine Travels 0223,Howrah Junction,Purnea Junction,17:49,403,664
Royal Roadways 0224,Howrah Junction,Purnea Junction,20:22,413,680
CityLink Travels 0225,Howrah Junction,Purnea Junction,22:55,423,695
Eastern Star Travels 0226,Howrah Junction,Kishanganj,14:38,499,813
North Bengal Express Bus 0227,Howrah Junction,Kishanganj,17:11,509,828
GreenLine Travels 0228,Howrah Junction,Kishanganj,19:44,519,844
Royal Roadways 0229,Howrah Junction,Kishanganj,22:17,529,859
CityLink Travels 0230,Howrah Junction,Kishanganj,00:50,539,875
Eastern Star Travels 0231,Howrah Junction,Dehri-on-Sone,16:33,154,278
North Bengal Express Bus 0232,Howrah Junction,Dehri-on-Sone,19:06,164,294
GreenLine Travels 0233,Howrah Junction,Dehri-on-Sone,21:39,174,309
Royal Roadways 0234,Howrah Junction,Dehri-on-Sone,00:12,184,325
CityLink Travels 0235,Howrah Junction,Dehri-on-Sone,02:45,194,340
Eastern Star Travels 0236,Howrah Junction,Sasaram Junction,18:28,273,463
North Bengal Express Bus 0237,Howrah Junction,Sasaram Junction,21:01,283,478
GreenLine Travels 0238,Howrah Junction,Sasaram Junction,23:34,293,494
Royal Roadways 0239,Howrah Junction,Sasaram Junction,02:07,303,509
CityLink Travels 0240,Howrah Junction,Sasaram Junction,04:40,313,525
Eastern Star Travels 0241,Howrah Junction,Motihari (Bapudham Motihari),20:23,393,649
North Bengal Express Bus 0242,Howrah Junction,Motihari (Bapudham Motihari),22:56,403,664
GreenLine Travels 0243,Howrah Junction,Motihari (Bapudham Motihari),01:29,413,680
Royal Roadways 0244,Howrah Junction,Motihari (Bapudham Motihari),04:02,423,695
CityLink Travels 0245,Howrah Junction,Motihari (Bapudham Motihari),06:35,433,711
Eastern Star Travels 0246,Howrah Junction,Bettiah,22:18,354,588
North Bengal Express Bus 0247,Howrah Junction,Bettiah,00:51,364,604
GreenLine Travels 0248,Howrah Junction,Bettiah,03:24,374,619
Royal Roadways 0249,Howrah Junction,Bettiah,05:57,384,635
CityLink Travels 0250,Howrah Junction,Bettiah,08:30,394,650
Eastern Star Travels 0251,Howrah Junction,Raxaul Junction,00:13,195,342
North Bengal Express Bus 0252,Howrah Junction,Raxaul Junction,02:46,205,357
GreenLine Travels 0253,Howrah Junction,Raxaul Junction,05:19,215,373
Royal Roadways 0254,Howrah Junction,Raxaul Junction,07:52,225,388
CityLink Travels 0255,Howrah Junction,Raxaul Junction,10:25,235,404
Eastern Star Travels 0256,Howrah Junction,Siwan Junction,02:08,305,512
North Bengal Express Bus 0257,Howrah Junction,Siwan Junction,04:41,315,528
GreenLine Travels 0258,Howrah Junction,Siwan Junction,07:14,325,543
Royal Roadways 0259,Howrah Junction,Siwan Junction,09:47,335,559
CityLink Travels 0260,Howrah Junction,Siwan Junction,12:20,345,574
Eastern Star Travels 0261,Howrah Junction,Begusarai,04:03,422,694
North Bengal Express Bus 0262,Howrah Junction,Begusarai,06:36,432,709
GreenLine Travels 0263,Howrah Junction,Begusarai,09:09,442,725
Royal Roadways 0264,Howrah Junction,Begusarai,11:42,452,740
CityLink Travels 0265,Howrah Junction,Begusarai,14:15,462,756
Eastern Star Travels 0266,Howrah Junction,Khagaria Junction,05:58,323,540
North Bengal Express Bus 0267,Howrah Junction,Khagaria Junction,08:31,333,556
GreenLine Travels 0268,Howrah Junction,Khagaria Junction,11:04,343,571
Royal Roadways 0269,Howrah Junction,Khagaria Junction,13:37,353,587
CityLink Travels 0270,Howrah Junction,Khagaria Junction,16:10,363,602
Eastern Star Travels 0271,Howrah Junction,Jamalpur Junction,07:53,431,708
North Bengal Express Bus 0272,Howrah Junction,Jamalpur Junction,10:26,441,723
GreenLine Travels 0273,Howrah Junction,Jamalpur Junction,12:59,451,739
Royal Roadways 0274,Howrah Junction,Jamalpur Junction,15:32,461,754
CityLink Travels 0275,Howrah Junction,Jamalpur Junction,18:05,471,770
Eastern Star Travels 0276,Howrah Junction,Nawada,09:48,357,593
North Bengal Express Bus 0277,Howrah Junction,Nawada,12:21,367,608
GreenLine Travels 0278,Howrah Junction,Nawada,14:54,377,624
Royal Roadways 0279,Howrah Junction,Nawada,17:27,387,639
CityLink Travels 0280,Howrah Junction,Nawada,20:00,397,655
Eastern Star Travels 0281,Howrah Junction,Jehanabad,11:43,202,353
North Bengal Express Bus 0282,Howrah Junction,Jehanabad,14:16,212,368
GreenLine Travels 0283,Howrah Junction,Jehanabad,16:49,222,384
Royal Roadways 0284,Howrah Junction,Jehanabad,19:22,232,399
CityLink Travels 0285,Howrah Junction,Jehanabad,21:55,242,415
Eastern Star Travels 0286,Howrah Junction,Jaynagar,13:38,316,529
North Bengal Express Bus 0287,Howrah Junction,Jaynagar,16:11,326,545
GreenLine Travels 0288,Howrah Junction,Jaynagar,18:44,336,560
Royal Roadways 0289,Howrah Junction,Jaynagar,21:17,346,576
CityLink Travels 0290,Howrah Junction,Jaynagar,23:50,356,591
Eastern Star Travels 0291,Howrah Junction,Narkatiaganj Junction,15:33,434,712
North Bengal Express Bus 0292,Howrah Junction,Narkatiaganj Junction,18:06,444,728
GreenLine Travels 0293,Howrah Junction,Narkatiaganj Junction,20:39,454,743
Royal Roadways 0294,Howrah Junction,Narkatiaganj Junction,23:12,464,759
CityLink Travels 0295,Howrah Junction,Narkatiaganj Junction,01:45,474,774
Eastern Star Travels 0296,Howrah Junction,Ranchi Junction,17:28,409,673
North Bengal Express Bus 0297,Howrah Junction,Ranchi Junction,20:01,419,689
GreenLine Travels 0298,Howrah Junction,Ranchi Junction,22:34,429,704
Royal Roadways 0299,Howrah Junction,Ranchi Junction,01:07,439,720
CityLink Travels 0300,Howrah Junction,Ranchi Junction,03:40,449,735
Eastern Star Travels 0301,Howrah Junction,Dhanbad Junction,19:23,215,373
North Bengal Express Bus 0302,Howrah Junction,Dhanbad Junction,21:56,225,388
GreenLine Travels 0303,Howrah Junction,Dhanbad Junction,00:29,235,404
Royal Roadways 0304,Howrah Junction,Dhanbad Junction,03:02,245,419
CityLink Travels 0305,Howrah Junction,Dhanbad Junction,05:35,255,435
Eastern Star Travels 0306,Howrah Junction,Tatanagar Junction (Jamshedpur),21:18,334,557
North Bengal Express Bus 0307,Howrah Junction,Tatanagar Junction (Jamshedpur),23:51,344,573
GreenLine Travels 0308,Howrah Junction,Tatanagar Junction (Jamshedpur),02:24,354,588
Royal Roadways 0309,Howrah Junction,Tatanagar Junction (Jamshedpur),04:57,364,604
CityLink Travels 0310,Howrah Junction,Tatanagar Junction (Jamshedpur),07:30,374,619
Eastern Star Travels 0311,Howrah Junction,Bokaro Steel City,23:13,454,743
North Bengal Express Bus 0312,Howrah Junction,Bokaro Steel City,01:46,464,759
GreenLine Travels 0313,Howrah Junction,Bokaro Steel City,04:19,474,774
Royal Roadways 0314,Howrah Junction,Bokaro Steel City,06:52,484,790
CityLink Travels 0315,Howrah Junction,Bokaro Steel City,09:25,494,805
Eastern Star Travels 0316,Howrah Junction,Jasidih Junction,01:08,376,622
North Bengal Express Bus 0317,Howrah Junction,Jasidih Junction,03:41,386,638
GreenLine Travels 0318,Howrah Junction,Jasidih Junction,06:14,396,653
Royal Roadways 0319,Howrah Junction,Jasidih Junction,08:47,406,669
CityLink Travels 0320,Howrah Junction,Jasidih Junction,11:20,416,684
Eastern Star Travels 0321,Howrah Junction,Madhupur Junction,03:03,264,449
North Bengal Express Bus 0322,Howrah Junction,Madhupur Junction,05:36,274,464
GreenLine Travels 0323,Howrah Junction,Madhupur Junction,08:09,284,480
Royal Roadways 0324,Howrah Junction,Madhupur Junction,10:42,294,495
CityLink Travels 0325,Howrah Junction,Madhupur Junction,13:15,304,511
Eastern Star Travels 0326,Howrah Junction,Koderma Junction,04:58,373,618
North Bengal Express Bus 0327,Howrah Junction,Koderma Junction,07:31,383,633
GreenLine Travels 0328,Howrah Junction,Koderma Junction,10:04,393,649
Royal Roadways 0329,Howrah Junction,Koderma Junction,12:37,403,664
CityLink Travels 0330,Howrah Junction,Koderma Junction,15:10,413,680
Eastern Star Travels 0331,Howrah Junction,Deoghar Junction,06:53,254,433
North Bengal Express Bus 0332,Howrah Junction,Deoghar Junction,09:26,264,449
GreenLine Travels 0333,Howrah Junction,Deoghar Junction,11:59,274,464
Royal Roadways 0334,Howrah Junction,Deoghar Junction,14:32,284,480
CityLink Travels 0335,Howrah Junction,Deoghar Junction,17:05,294,495
Eastern Star Travels 0336,Howrah Junction,Hatia,08:48,363,602
North Bengal Express Bus 0337,Howrah Junction,Hatia,11:21,373,618
GreenLine Travels 0338,Howrah Junction,Hatia,13:54,383,633
Royal Roadways 0339,Howrah Junction,Hatia,16:27,393,649
CityLink Travels 0340,Howrah Junction,Hatia,19:00,403,664
Eastern Star Travels 0341,Howrah Junction,Barkakana Junction,10:43,478,780
North Bengal Express Bus 0342,Howrah Junction,Barkakana Junction,13:16,488,796
GreenLine Travels 0343,Howrah Junction,Barkakana Junction,15:49,498,811
Royal Roadways 0344,Howrah Junction,Barkakana Junction,18:22,508,827
CityLink Travels 0345,Howrah Junction,Barkakana Junction,20:55,518,842
Eastern Star Travels 0346,Howrah Junction,Daltonganj,12:38,134,247
North Bengal Express Bus 0347,Howrah Junction,Daltonganj,15:11,144,263
GreenLine Travels 0348,Howrah Junction,Daltonganj,17:44,154,278
Royal Roadways 0349,Howrah Junction,Daltonganj,20:17,164,294
CityLink Travels 0350,Howrah Junction,Daltonganj,22:50,174,309
Eastern Star Travels 0351,Howrah Junction,Chandrapura Junction,14:33,251,429
North Bengal Express Bus 0352,Howrah Junction,Chandrapura Junction,17:06,261,444
GreenLine Travels 0353,Howrah Junction,Chandrapura Junction,19:39,271,460
Royal Roadways 0354,Howrah Junction,Chandrapura Junction,22:12,281,475
CityLink Travels 0355,Howrah Junction,Chandrapura Junction,00:45,291,491
Eastern Star Travels 0356,Howrah Junction,Gomoh Junction (NSCB Gomoh),16:28,370,613
North Bengal Express Bus 0357,Howrah Junction,Gomoh Junction (NSCB Gomoh),19:01,380,629
GreenLine Travels 0358,Howrah Junction,Gomoh Junction (NSCB Gomoh),21:34,390,644
Royal Roadways 0359,Howrah Junction,Gomoh Junction (NSCB Gomoh),00:07,400,660
CityLink Travels 0360,Howrah Junction,Gomoh Junction (NSCB Gomoh),02:40,410,675
Eastern Star Travels 0361,Howrah Junction,Sahibganj Junction,18:23,490,799
North Bengal Express Bus 0362,Howrah Junction,Sahibganj Junction,20:56,500,815
GreenLine Travels 0363,Howrah Junction,Sahibganj Junction,23:29,510,830
Royal Roadways 0364,Howrah Junction,Sahibganj Junction,02:02,520,846
CityLink Travels 0365,Howrah Junction,Sahibganj Junction,04:35,530,861
Eastern Star Travels 0366,Howrah Junction,Dumka,20:18,172,306
North Bengal Express Bus 0367,Howrah Junction,Dumka,22:51,182,322
GreenLine Travels 0368,Howrah Junction,Dumka,01:24,192,337
Royal Roadways 0369,Howrah Junction,Dumka,03:57,202,353
CityLink Travels 0370,Howrah Junction,Dumka,06:30,212,368
Eastern Star Travels 0371,Howrah Junction,Garhwa Road Junction,22:13,281,475
North Bengal Express Bus 0372,Howrah Junction,Garhwa Road Junction,00:46,291,491
GreenLine Travels 0373,Howrah Junction,Garhwa Road Junction,03:19,301,506
Royal Roadways 0374,Howrah Junction,Garhwa Road Junction,05:52,311,522
CityLink Travels 0375,Howrah Junction,Garhwa Road Junction,08:25,321,537
Eastern Star Travels 0376,Howrah Junction,Ramgarh Cantt,00:08,398,656
